investec,absa,nedbank,discovery_bank,capitec,africa_bank,tyme_bank,bank_zero,standard_bank
0.0,-1.625,14.918425324675324,0,0.85,0,0,0,0
0.0,-1.625,14.918425324675324,0,0.85,0,0,0,0
0.0,-1.625,14.818425324675324,0,0.85,0,0,0,0
0.0,-1.625,14.818425324675324,0,0.85,0,0,0,0
0.0,-1.625,14.818425324675324,0,0.85,0,0,0,0
0.0,-1.625,15.227800324675325,0,0.85,0,0,0,0
0.0,-1.625,15.227800324675325,0,0.85,0,0,0,0
0.0,-1.625,15.620657467532467,0,0.85,0,0,0,0
0.0,-1.625,16.01351461038961,0,0.85,0,0,0,0
0.0,-1.625,16.01351461038961,0,0.85,0,0,0,0
0.0,-1.625,16.01351461038961,0,0.85,0,0,0,0
0.0,-1.625,16.01351461038961,0,0.85,0,0,0,0
0.0,-1.625,16.406371753246752,0,0.85,0,0,0,0
0.0,-1.625,16.406371753246752,0,0.85,0,0,0,0
0.0,-1.625,17.17455357142857,0,0.85,0,0,0,0
0.0,-1.625,17.17455357142857,0,0.85,0,0,0,0
0.0,-1.625,17.17455357142857,0,0.85,0,0,0,0
0.0,-1.625,17.492735389610388,0,0.85,0,0,0,0
0.0,-1.625,17.492735389610388,0,0.85,0,0,0,0
0.0,-1.625,17.84273538961039,0,0.85,0,0,0,0
0.0,-1.625,17.84273538961039,0,0.85,0,0,0,0
0.0,-1.625,17.84273538961039,0,0.85,0,0,0,0
0.0,-1.625,17.84273538961039,0,0.85,0,0,0,0
0.0,-1.625,17.84273538961039,0,0.85,0,0,0,0
0.0,-1.625,17.84273538961039,0,0.85,0,0,0,0
0.0,-1.625,17.84273538961039,0,0.85,0,0,0,0
0.0,-1.625,18.235592532467532,0,0.85,0,0,0,0
0.0,-1.625,18.235592532467532,0,0.85,0,0,0,0
0.0,-1.625,18.235592532467532,0,0.85,0,0,0,0
0.0,-1.625,18.235592532467532,0,0.85,0,0,0,0
0.0,-1.625,18.723092532467533,0,0.85,0,0,0,0
0.0,-1.625,19.160213744588745,0,0.85,0,0,0,0
0.0,-1.625,19.160213744588745,0,0.85,0,0,0,0
0.0,-1.625,19.160213744588745,0,0.85,0,0,0,0
0.0,-1.625,19.160213744588745,0,0.85,0,0,0,0
0.0,-1.625,19.160213744588745,0,0.85,0,0,0,0
0.0,-1.625,19.160213744588745,0,0.85,0,0,0,0
0.0,-1.625,19.928395562770564,0,0.85,0,0,0,0
0.0,-1.625,19.928395562770564,0,0.85,0,0,0,0
0.0,-1.625,19.928395562770564,0,0.85,0,0,0,0
0.0,-1.625,19.928395562770564,0,0.85,0,0,0,0
0.0,-1.625,19.928395562770564,0,0.85,0,0,0,0
0.0,-1.625,19.928395562770564,0,0.85,0,0,0,0
0.0,-1.625,19.928395562770564,0,0.85,0,0,0,0
0.0,-1.625,20.528395562770566,0,0.85,0,0,0,0
0.0,-1.625,20.528395562770566,0,0.85,0,0,0,0
0.0,-1.625,20.528395562770566,0,0.85,0,0,0,0
0.0,-1.625,20.528395562770566,0,0.85,0,0,0,0
0.0,-2.125,20.528395562770566,0,0.85,0,0,0,0
0.0,-2.125,20.528395562770566,0,0.85,0,0,0,0
0.0,-2.125,20.528395562770566,0,0.85,0,0,0,0
0.0,-2.125,20.96551677489178,0,0.85,0,0,0,0
0.0,-2.125,20.96551677489178,0,0.85,0,0,0,0
0.0,-2.125,20.96551677489178,0,0.85,0,0,0,0
0.0,-2.125,21.06551677489178,0,0.85,0,0,0,0
0.0,-2.125,21.56551677489178,0,0.85,0,0,0,0
0.0,-2.125,21.56551677489178,0,0.85,0,0,0,0
0.0,-2.125,21.56551677489178,0,0.85,0,0,0,0
0.0,-2.125,22.16551677489178,0,0.85,0,0,0,0
0.0,-2.625,22.16551677489178,0,0.85,0,0,0,0
0.0,-2.625,22.140516774891783,0,0.85,0,0,0,0
0.0,-2.625,22.49586715367966,0,0.85,0,0,0,0
0.0,-2.625,22.49586715367966,0,0.85,0,0,0,0
0.0,-2.625,23.095867153679663,0,0.85,0,0,0,0
0.0,-2.625,23.095867153679663,0,0.85,0,0,0,0
0.0,-2.625,23.306906114718625,0,0.85,0,0,0,0
0.0,-2.625,23.625087932900442,0,0.85,0,0,0,0
0.0,-2.625,23.625087932900442,0,0.85,0,0,0,0
0.0,-2.625,23.625087932900442,0,0.85,0,0,0,0
0.0,-2.625,23.625087932900442,0,0.85,0,0,0,0
0.0,-2.625,23.625087932900442,0,0.85,0,0,0,0
0.0,-2.625,23.975087932900443,0,0.85,0,0,0,0
0.0,-2.625,23.975087932900443,0,0.85,0,0,0,0
0.0,-2.625,23.975087932900443,0,0.85,0,0,0,0
0.0,-2.625,23.975087932900443,0,0.85,0,0,0,0
0.0,-2.625,23.975087932900443,0,0.85,0,0,0,0
0.0,-2.625,24.412209145021656,0,0.85,0,0,0,0
0.0,-2.625,24.412209145021656,0,0.85,0,0,0,0
0.0,-2.625,24.412209145021656,0,0.85,0,0,0,0
0.0,-2.625,24.912209145021656,0,0.85,0,0,0,0
0.0,-2.625,25.224709145021656,0,0.85,0,0,0,0
0.0,-2.625,25.224709145021656,0,0.85,0,0,0,0
0.0,-2.625,25.724709145021656,0,0.85,0,0,0,0
0.0,-2.625,26.16183035714287,0,0.85,0,0,0,0
0.0,-2.625,26.16183035714287,0,0.85,0,0,0,0
0.0,-2.625,26.16183035714287,0,0.85,0,0,0,0
0.0,-2.625,26.16183035714287,0,0.85,0,0,0,0
0.0,-2.625,26.611830357142868,0,0.85,0,0,0,0
0.0,-2.625,27.061830357142867,0,0.85,0,0,0,0
0.0,-2.625,27.061830357142867,0,0.85,0,0,0,0
0.0,-2.625,27.061830357142867,0,0.7181818181818181,0,0,0,0
0.0,-2.625,27.061830357142867,0,0.7181818181818181,0,0,0,0
0.0,-2.625,27.061830357142867,0,0.7181818181818181,0,0,0,0
0.0,-2.625,27.061830357142867,0,0.7181818181818181,0,0,0,0
0.0,-2.625,27.061830357142867,0,0.7181818181818181,0,0,0,0
0.0,-2.625,27.061830357142867,0,0.7181818181818181,0,0,0,0
